Title,Harga,Harga Asli,Diskon,Terjual,Rating,Lokasi
MR COLOR PINK C63 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp26.500,,,1 terjual,5.0,Surabaya
KOMPRESOR COMPRESSOR AIRBRUSH SPARMAX TC 610 H PLUS GUNDAM MG HG PG,Rp4.400.000,,,26 terjual,5.0,Jakarta Utara
MR COLOR CLEAR RED C47 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,6 terjual,4.8,Surabaya
AIRBRUSH IWATA HPBR HP-BR 0.3MM AIR BRUSH MODEL KIT GUNDAM HG MG PG,Rp1.900.000,,,3 terjual,5.0,Jakarta Utara
hg gundam jiyan altron bandai,Rp240.000,,,4 terjual,5.0,Surabaya
HG Gundam Pharact - The Witch From Mercury BANDAI,Rp349.000,,,10 terjual,5.0,Jakarta Barat
Action Base untuk Display Stand SHF SD HG / RG Gundam Action figure,Rp15.369,,,250+ terjual,5.0,Kab. Tangerang
HG Alus Earthree Gundam HGBD HGBD:R Bandai Gunpla Build Divers Rerise,Rp275.000,,,22 terjual,5.0,Jakarta Selatan
HG OO 00 1/144 GN-001 Gundam Exia BANDAI,Rp298.000,,,60+ terjual,5.0,Jakarta Barat
HG IBO 1/144 Gundam Gremory,Rp295.000,,,4 terjual,5.0,Medan
HG Gelgoog Menace Lunamaria Hawke Custom 1/144  HGCE CE Cosmic Era Gundam Seed Freedom,Rp485.000,,,14 terjual,5.0,Kab. Bantul
Gundam HG 1/144 Kamiki Burning Gundam Original Bandai,Rp385.000,,,1 terjual,,Kab. Bandung
(Premium Bandai) HG 1/144 Gundam rose,Rp650.000,,,2 terjual,5.0,Banjarmasin
Water Slide Decal HG Gundam Pharact by G-rework - Original,Rp115.000,,,2 terjual,5.0,Kab. Cirebon
MR COLOR COBALT BLUE C80 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,2 terjual,,Surabaya
